"","ResourceSpeciesID","ConsumerSpeciesID","Type"
"1",6,21,"Feeding"
"2",24,34,"Feeding"
"3",25,34,"Feeding"
"4",26,34,"Feeding"
"5",35,34,"Feeding"
"6",36,34,"Feeding"
"7",37,34,"Feeding"
"8",38,34,"Feeding"
"9",39,34,"Feeding"
"10",40,34,"Feeding"
"11",41,34,"Feeding"
"12",42,34,"Feeding"
"13",43,34,"Feeding"
"14",45,34,"Feeding"
"15",21,43,"Feeding"
"16",24,43,"Feeding"
"17",25,43,"Feeding"
"18",26,43,"Feeding"
"19",29,43,"Feeding"
"20",34,43,"Feeding"
"21",36,43,"Feeding"
"22",37,43,"Feeding"
"23",38,43,"Feeding"
"24",39,43,"Feeding"
"25",40,43,"Feeding"
"26",41,43,"Feeding"
"27",42,43,"Feeding"
"29",45,43,"Feeding"
"30",66,43,"Feeding"
"31",92,43,"Feeding"
"32",100,43,"Feeding"
"33",104,43,"Feeding"
"34",21,45,"Feeding"
"35",24,45,"Feeding"
"36",25,45,"Feeding"
"37",26,45,"Feeding"
"38",29,45,"Feeding"
"39",34,45,"Feeding"
"40",36,45,"Feeding"
"41",37,45,"Feeding"
"42",38,45,"Feeding"
"43",39,45,"Feeding"
"44",40,45,"Feeding"
"45",41,45,"Feeding"
"46",42,45,"Feeding"
"47",43,45,"Feeding"
"49",66,45,"Feeding"
"50",92,45,"Feeding"
"51",100,45,"Feeding"
"52",104,45,"Feeding"
"53",12,24,"Feeding"
"54",12,25,"Feeding"
"55",12,26,"Feeding"
"56",12,37,"Feeding"
"57",12,40,"Feeding"
"58",12,41,"Feeding"
"59",12,42,"Feeding"
"60",12,43,"Feeding"
"61",12,45,"Feeding"
"62",122,47,"Feeding"
"63",24,48,"Feeding"
"64",25,48,"Feeding"
"65",26,48,"Feeding"
"66",29,48,"Feeding"
"67",34,48,"Feeding"
"68",36,48,"Feeding"
"69",37,48,"Feeding"
"70",38,48,"Feeding"
"71",39,48,"Feeding"
"72",40,48,"Feeding"
"73",41,48,"Feeding"
"74",42,48,"Feeding"
"75",43,48,"Feeding"
"76",45,48,"Feeding"
"77",66,48,"Feeding"
"78",92,48,"Feeding"
"79",24,53,"Feeding"
"80",25,53,"Feeding"
"81",26,53,"Feeding"
"82",29,53,"Feeding"
"83",34,53,"Feeding"
"84",35,53,"Feeding"
"85",36,53,"Feeding"
"86",37,53,"Feeding"
"87",38,53,"Feeding"
"88",39,53,"Feeding"
"89",40,53,"Feeding"
"90",41,53,"Feeding"
"91",42,53,"Feeding"
"92",43,53,"Feeding"
"93",45,53,"Feeding"
"94",12,66,"Feeding"
"96",6,75,"Feeding"
"97",6,77,"Feeding"
"98",6,79,"Feeding"
"99",145,86,"Feeding"
"100",146,86,"Feeding"
"101",147,86,"Feeding"
"102",148,86,"Feeding"
"103",152,86,"Feeding"
"104",153,86,"Feeding"
"105",156,86,"Feeding"
"106",157,86,"Feeding"
"107",158,86,"Feeding"
"108",160,86,"Feeding"
"109",162,86,"Feeding"
"110",163,86,"Feeding"
"111",164,86,"Feeding"
"112",165,86,"Feeding"
"113",166,86,"Feeding"
"114",167,86,"Feeding"
"115",168,86,"Feeding"
"116",169,86,"Feeding"
"117",171,86,"Feeding"
"118",172,86,"Feeding"
"119",175,86,"Feeding"
"120",176,86,"Feeding"
"121",178,86,"Feeding"
"122",179,86,"Feeding"
"123",181,86,"Feeding"
"124",185,86,"Feeding"
"125",186,86,"Feeding"
"126",187,86,"Feeding"
"127",188,86,"Feeding"
"128",189,86,"Feeding"
"129",190,86,"Feeding"
"130",191,86,"Feeding"
"131",192,86,"Feeding"
"132",193,86,"Feeding"
"133",196,86,"Feeding"
"134",198,86,"Feeding"
"135",203,86,"Feeding"
"136",206,86,"Feeding"
"137",207,86,"Feeding"
"138",208,86,"Feeding"
"139",209,86,"Feeding"
"140",145,90,"Feeding"
"141",146,90,"Feeding"
"142",147,90,"Feeding"
"143",148,90,"Feeding"
"144",152,90,"Feeding"
"145",153,90,"Feeding"
"146",156,90,"Feeding"
"147",157,90,"Feeding"
"148",158,90,"Feeding"
"149",160,90,"Feeding"
"150",162,90,"Feeding"
"151",163,90,"Feeding"
"152",164,90,"Feeding"
"153",165,90,"Feeding"
"154",166,90,"Feeding"
"155",167,90,"Feeding"
"156",168,90,"Feeding"
"157",169,90,"Feeding"
"158",171,90,"Feeding"
"159",172,90,"Feeding"
"160",175,90,"Feeding"
"161",176,90,"Feeding"
"162",178,90,"Feeding"
"163",179,90,"Feeding"
"164",181,90,"Feeding"
"165",185,90,"Feeding"
"166",186,90,"Feeding"
"167",187,90,"Feeding"
"168",188,90,"Feeding"
"169",189,90,"Feeding"
"170",190,90,"Feeding"
"171",191,90,"Feeding"
"172",192,90,"Feeding"
"173",193,90,"Feeding"
"174",196,90,"Feeding"
"175",198,90,"Feeding"
"176",203,90,"Feeding"
"177",206,90,"Feeding"
"178",207,90,"Feeding"
"179",208,90,"Feeding"
"180",209,90,"Feeding"
"181",6,91,"Feeding"
"182",10,91,"Feeding"
"183",12,92,"Feeding"
"184",6,94,"Feeding"
"185",6,96,"Feeding"
"186",10,96,"Feeding"
"187",6,97,"Feeding"
"188",10,97,"Feeding"
"189",6,98,"Feeding"
"190",10,98,"Feeding"
"191",6,101,"Feeding"
"192",10,101,"Feeding"
"193",6,103,"Feeding"
"194",12,104,"Feeding"
"195",6,105,"Feeding"
"196",10,105,"Feeding"
"197",6,107,"Feeding"
"198",6,110,"Feeding"
"200",12,111,"Feeding"
"201",6,114,"Feeding"
"202",10,114,"Feeding"
"203",14,114,"Feeding"
"204",15,114,"Feeding"
"205",16,114,"Feeding"
"206",20,114,"Feeding"
"207",24,114,"Feeding"
"208",25,114,"Feeding"
"209",26,114,"Feeding"
"210",29,114,"Feeding"
"211",34,114,"Feeding"
"212",35,114,"Feeding"
"213",36,114,"Feeding"
"214",37,114,"Feeding"
"215",38,114,"Feeding"
"216",39,114,"Feeding"
"217",40,114,"Feeding"
"218",41,114,"Feeding"
"219",42,114,"Feeding"
"220",43,114,"Feeding"
"221",45,114,"Feeding"
"222",48,114,"Feeding"
"223",53,114,"Feeding"
"224",66,114,"Feeding"
"225",75,114,"Feeding"
"226",77,114,"Feeding"
"227",79,114,"Feeding"
"228",82,114,"Feeding"
"229",91,114,"Feeding"
"230",96,114,"Feeding"
"231",97,114,"Feeding"
"232",98,114,"Feeding"
"233",101,114,"Feeding"
"234",105,114,"Feeding"
"235",107,114,"Feeding"
"236",94,114,"Feeding"
"238",10,118,"Feeding"
"239",21,118,"Feeding"
"240",24,118,"Feeding"
"241",25,118,"Feeding"
"242",26,118,"Feeding"
"243",29,118,"Feeding"
"244",34,118,"Feeding"
"245",36,118,"Feeding"
"246",37,118,"Feeding"
"247",38,118,"Feeding"
"248",39,118,"Feeding"
"249",40,118,"Feeding"
"250",41,118,"Feeding"
"251",42,118,"Feeding"
"252",43,118,"Feeding"
"253",45,118,"Feeding"
"254",66,118,"Feeding"
"255",92,118,"Feeding"
"256",104,118,"Feeding"
"257",21,119,"Feeding"
"258",24,119,"Feeding"
"259",25,119,"Feeding"
"260",26,119,"Feeding"
"261",29,119,"Feeding"
"262",34,119,"Feeding"
"263",36,119,"Feeding"
"264",37,119,"Feeding"
"265",38,119,"Feeding"
"266",39,119,"Feeding"
"267",40,119,"Feeding"
"268",41,119,"Feeding"
"269",42,119,"Feeding"
"270",43,119,"Feeding"
"271",45,119,"Feeding"
"272",66,119,"Feeding"
"273",89,119,"Feeding"
"274",91,119,"Feeding"
"275",96,119,"Feeding"
"276",97,119,"Feeding"
"277",98,119,"Feeding"
"278",100,119,"Feeding"
"279",101,119,"Feeding"
"280",103,119,"Feeding"
"281",104,119,"Feeding"
"282",105,119,"Feeding"
"283",107,119,"Feeding"
"284",108,119,"Feeding"
"285",110,119,"Feeding"
"286",10,121,"Feeding"
"287",24,121,"Feeding"
"288",25,121,"Feeding"
"289",26,121,"Feeding"
"290",29,121,"Feeding"
"291",34,121,"Feeding"
"292",35,121,"Feeding"
"293",36,121,"Feeding"
"294",37,121,"Feeding"
"295",38,121,"Feeding"
"296",39,121,"Feeding"
"297",40,121,"Feeding"
"298",41,121,"Feeding"
"299",42,121,"Feeding"
"300",43,121,"Feeding"
"301",45,121,"Feeding"
"316",53,121,"Feeding"
"317",66,121,"Feeding"
"318",75,121,"Feeding"
"319",76,121,"Feeding"
"320",89,121,"Feeding"
"321",91,121,"Feeding"
"322",92,121,"Feeding"
"323",96,121,"Feeding"
"324",97,121,"Feeding"
"325",98,121,"Feeding"
"326",100,121,"Feeding"
"327",101,121,"Feeding"
"328",103,121,"Feeding"
"329",104,121,"Feeding"
"330",105,121,"Feeding"
"331",107,121,"Feeding"
"332",108,121,"Feeding"
"333",110,121,"Feeding"
"334",86,121,"Feeding"
"335",90,121,"Feeding"
"336",94,121,"Feeding"
"337",10,122,"Feeding"
