"","ResourceSpeciesID","ConsumerSpeciesID","Type"
"1",6,21,"Feeding"
"2",12,25,"Feeding"
"3",12,44,"Feeding"
"4",122,47,"Feeding"
"5",127,47,"Feeding"
"6",113,50,"Feeding"
"7",25,51,"Feeding"
"8",35,51,"Feeding"
"9",44,51,"Feeding"
"10",25,53,"Feeding"
"11",35,53,"Feeding"
"12",44,53,"Feeding"
"13",12,61,"Feeding"
"14",6,64,"Feeding"
"15",12,64,"Feeding"
"16",6,65,"Feeding"
"17",12,65,"Feeding"
"18",25,65,"Feeding"
"19",44,65,"Feeding"
"20",61,65,"Feeding"
"21",64,65,"Feeding"
"23",66,65,"Feeding"
"24",67,65,"Feeding"
"25",68,65,"Feeding"
"26",70,65,"Feeding"
"27",71,65,"Feeding"
"28",72,65,"Feeding"
"29",73,65,"Feeding"
"30",12,66,"Feeding"
"31",6,67,"Feeding"
"32",12,67,"Feeding"
"33",25,67,"Feeding"
"34",44,67,"Feeding"
"35",61,67,"Feeding"
"36",64,67,"Feeding"
"37",65,67,"Feeding"
"38",66,67,"Feeding"
"40",68,67,"Feeding"
"41",70,67,"Feeding"
"42",71,67,"Feeding"
"43",72,67,"Feeding"
"44",73,67,"Feeding"
"45",6,68,"Feeding"
"46",12,68,"Feeding"
"47",6,70,"Feeding"
"48",12,70,"Feeding"
"49",25,70,"Feeding"
"50",44,70,"Feeding"
"51",61,70,"Feeding"
"52",64,70,"Feeding"
"53",65,70,"Feeding"
"54",66,70,"Feeding"
"55",67,70,"Feeding"
"56",68,70,"Feeding"
"58",71,70,"Feeding"
"59",72,70,"Feeding"
"60",73,70,"Feeding"
"61",12,71,"Feeding"
"62",25,71,"Feeding"
"63",44,71,"Feeding"
"64",61,71,"Feeding"
"65",64,71,"Feeding"
"66",65,71,"Feeding"
"67",66,71,"Feeding"
"68",67,71,"Feeding"
"69",68,71,"Feeding"
"70",70,71,"Feeding"
"72",72,71,"Feeding"
"73",73,71,"Feeding"
"74",12,72,"Feeding"
"75",25,72,"Feeding"
"76",44,72,"Feeding"
"77",61,72,"Feeding"
"78",64,72,"Feeding"
"79",65,72,"Feeding"
"80",66,72,"Feeding"
"81",67,72,"Feeding"
"82",68,72,"Feeding"
"83",70,72,"Feeding"
"84",71,72,"Feeding"
"86",73,72,"Feeding"
"87",12,73,"Feeding"
"98",6,75,"Feeding"
"99",6,79,"Feeding"
"100",141,86,"Feeding"
"101",143,86,"Feeding"
"102",144,86,"Feeding"
"103",145,86,"Feeding"
"104",146,86,"Feeding"
"105",147,86,"Feeding"
"106",148,86,"Feeding"
"107",151,86,"Feeding"
"108",154,86,"Feeding"
"109",155,86,"Feeding"
"110",157,86,"Feeding"
"111",158,86,"Feeding"
"112",159,86,"Feeding"
"113",161,86,"Feeding"
"114",163,86,"Feeding"
"115",164,86,"Feeding"
"116",168,86,"Feeding"
"117",169,86,"Feeding"
"118",170,86,"Feeding"
"119",172,86,"Feeding"
"120",173,86,"Feeding"
"121",174,86,"Feeding"
"122",175,86,"Feeding"
"123",176,86,"Feeding"
"124",177,86,"Feeding"
"125",178,86,"Feeding"
"126",181,86,"Feeding"
"127",182,86,"Feeding"
"128",183,86,"Feeding"
"129",187,86,"Feeding"
"130",189,86,"Feeding"
"131",190,86,"Feeding"
"132",194,86,"Feeding"
"133",197,86,"Feeding"
"134",198,86,"Feeding"
"135",201,86,"Feeding"
"136",202,86,"Feeding"
"137",204,86,"Feeding"
"138",205,86,"Feeding"
"139",207,86,"Feeding"
"140",208,86,"Feeding"
"141",209,86,"Feeding"
"142",210,86,"Feeding"
"143",118,87,"Feeding"
"144",121,87,"Feeding"
"145",141,90,"Feeding"
"146",143,90,"Feeding"
"147",144,90,"Feeding"
"148",145,90,"Feeding"
"149",146,90,"Feeding"
"150",147,90,"Feeding"
"151",148,90,"Feeding"
"152",151,90,"Feeding"
"153",154,90,"Feeding"
"154",155,90,"Feeding"
"155",157,90,"Feeding"
"156",158,90,"Feeding"
"157",159,90,"Feeding"
"158",161,90,"Feeding"
"159",163,90,"Feeding"
"160",164,90,"Feeding"
"161",168,90,"Feeding"
"162",169,90,"Feeding"
"163",170,90,"Feeding"
"164",172,90,"Feeding"
"165",173,90,"Feeding"
"166",174,90,"Feeding"
"167",175,90,"Feeding"
"168",176,90,"Feeding"
"169",177,90,"Feeding"
"170",178,90,"Feeding"
"171",181,90,"Feeding"
"172",182,90,"Feeding"
"173",183,90,"Feeding"
"174",187,90,"Feeding"
"175",189,90,"Feeding"
"176",190,90,"Feeding"
"177",194,90,"Feeding"
"178",197,90,"Feeding"
"179",198,90,"Feeding"
"180",201,90,"Feeding"
"181",202,90,"Feeding"
"182",204,90,"Feeding"
"183",205,90,"Feeding"
"184",207,90,"Feeding"
"185",208,90,"Feeding"
"186",209,90,"Feeding"
"187",210,90,"Feeding"
"188",12,92,"Feeding"
"189",6,94,"Feeding"
"190",6,99,"Feeding"
"191",10,99,"Feeding"
"192",12,104,"Feeding"
"193",93,106,"Feeding"
"194",94,106,"Feeding"
"195",102,106,"Feeding"
"197",109,106,"Feeding"
"198",6,110,"Feeding"
"200",12,111,"Feeding"
"201",12,112,"Feeding"
"202",21,112,"Feeding"
"203",25,112,"Feeding"
"204",44,112,"Feeding"
"205",61,112,"Feeding"
"206",64,112,"Feeding"
"207",65,112,"Feeding"
"208",66,112,"Feeding"
"209",67,112,"Feeding"
"210",68,112,"Feeding"
"211",70,112,"Feeding"
"212",71,112,"Feeding"
