"","ResourceSpeciesID","ConsumerSpeciesID","Type"
"1",6,21,"Feeding"
"2",21,45,"Feeding"
"3",22,45,"Feeding"
"4",23,45,"Feeding"
"5",26,45,"Feeding"
"6",27,45,"Feeding"
"7",28,45,"Feeding"
"8",29,45,"Feeding"
"9",30,45,"Feeding"
"10",31,45,"Feeding"
"11",32,45,"Feeding"
"12",33,45,"Feeding"
"14",46,45,"Feeding"
"15",59,45,"Feeding"
"16",60,45,"Feeding"
"17",61,45,"Feeding"
"18",62,45,"Feeding"
"19",63,45,"Feeding"
"20",64,45,"Feeding"
"21",68,45,"Feeding"
"22",69,45,"Feeding"
"23",71,45,"Feeding"
"24",73,45,"Feeding"
"25",74,45,"Feeding"
"26",92,45,"Feeding"
"27",100,45,"Feeding"
"28",104,45,"Feeding"
"29",21,46,"Feeding"
"30",22,46,"Feeding"
"31",23,46,"Feeding"
"32",26,46,"Feeding"
"33",27,46,"Feeding"
"34",28,46,"Feeding"
"35",29,46,"Feeding"
"36",30,46,"Feeding"
"37",31,46,"Feeding"
"38",32,46,"Feeding"
"39",33,46,"Feeding"
"40",45,46,"Feeding"
"42",59,46,"Feeding"
"43",60,46,"Feeding"
"44",61,46,"Feeding"
"45",62,46,"Feeding"
"46",63,46,"Feeding"
"47",64,46,"Feeding"
"48",68,46,"Feeding"
"49",69,46,"Feeding"
"50",71,46,"Feeding"
"51",73,46,"Feeding"
"52",74,46,"Feeding"
"53",92,46,"Feeding"
"54",100,46,"Feeding"
"55",104,46,"Feeding"
"56",12,22,"Feeding"
"57",12,23,"Feeding"
"58",12,26,"Feeding"
"59",12,31,"Feeding"
"60",12,32,"Feeding"
"61",12,45,"Feeding"
"62",12,46,"Feeding"
"63",122,47,"Feeding"
"64",22,48,"Feeding"
"65",23,48,"Feeding"
"66",26,48,"Feeding"
"67",27,48,"Feeding"
"68",28,48,"Feeding"
"69",29,48,"Feeding"
"70",30,48,"Feeding"
"71",31,48,"Feeding"
"72",32,48,"Feeding"
"73",33,48,"Feeding"
"74",45,48,"Feeding"
"75",46,48,"Feeding"
"76",59,48,"Feeding"
"77",60,48,"Feeding"
"78",61,48,"Feeding"
"79",62,48,"Feeding"
"80",63,48,"Feeding"
"81",64,48,"Feeding"
"82",68,48,"Feeding"
"83",69,48,"Feeding"
"84",71,48,"Feeding"
"85",73,48,"Feeding"
"86",74,48,"Feeding"
"87",92,48,"Feeding"
"88",113,50,"Feeding"
"89",22,53,"Feeding"
"90",23,53,"Feeding"
"91",26,53,"Feeding"
"92",27,53,"Feeding"
"93",28,53,"Feeding"
"94",29,53,"Feeding"
"95",30,53,"Feeding"
"96",31,53,"Feeding"
"97",32,53,"Feeding"
"98",33,53,"Feeding"
"99",35,53,"Feeding"
"100",45,53,"Feeding"
"101",46,53,"Feeding"
"102",6,55,"Feeding"
"103",12,55,"Feeding"
"104",95,58,"Feeding"
"105",100,58,"Feeding"
"106",6,59,"Feeding"
"107",12,59,"Feeding"
"108",22,59,"Feeding"
"109",23,59,"Feeding"
"110",26,59,"Feeding"
"111",27,59,"Feeding"
"112",28,59,"Feeding"
"113",29,59,"Feeding"
"114",30,59,"Feeding"
"115",31,59,"Feeding"
"116",32,59,"Feeding"
"117",33,59,"Feeding"
"118",45,59,"Feeding"
"119",46,59,"Feeding"
"121",60,59,"Feeding"
"122",61,59,"Feeding"
"123",62,59,"Feeding"
"124",63,59,"Feeding"
"125",64,59,"Feeding"
"126",68,59,"Feeding"
"127",69,59,"Feeding"
"128",71,59,"Feeding"
"129",73,59,"Feeding"
"130",74,59,"Feeding"
"131",6,60,"Feeding"
"132",12,60,"Feeding"
"133",22,60,"Feeding"
"134",23,60,"Feeding"
"135",26,60,"Feeding"
"136",27,60,"Feeding"
"137",28,60,"Feeding"
"138",29,60,"Feeding"
"139",30,60,"Feeding"
"140",31,60,"Feeding"
"141",32,60,"Feeding"
"142",33,60,"Feeding"
"143",45,60,"Feeding"
"144",46,60,"Feeding"
"145",59,60,"Feeding"
"147",61,60,"Feeding"
"148",62,60,"Feeding"
"149",63,60,"Feeding"
"150",64,60,"Feeding"
"151",68,60,"Feeding"
"152",69,60,"Feeding"
"153",71,60,"Feeding"
"154",73,60,"Feeding"
"155",74,60,"Feeding"
"156",12,61,"Feeding"
"157",12,62,"Feeding"
"158",22,62,"Feeding"
"159",23,62,"Feeding"
"160",26,62,"Feeding"
"161",27,62,"Feeding"
"162",28,62,"Feeding"
"163",29,62,"Feeding"
"164",30,62,"Feeding"
"165",31,62,"Feeding"
"166",32,62,"Feeding"
"167",33,62,"Feeding"
"168",45,62,"Feeding"
"169",46,62,"Feeding"
"170",59,62,"Feeding"
"171",60,62,"Feeding"
"172",61,62,"Feeding"
"174",63,62,"Feeding"
"175",64,62,"Feeding"
"176",68,62,"Feeding"
"177",69,62,"Feeding"
"178",71,62,"Feeding"
"179",73,62,"Feeding"
"180",74,62,"Feeding"
"181",6,63,"Feeding"
"182",12,63,"Feeding"
"183",22,63,"Feeding"
"184",23,63,"Feeding"
"185",26,63,"Feeding"
"186",27,63,"Feeding"
"187",28,63,"Feeding"
"188",29,63,"Feeding"
"189",30,63,"Feeding"
"190",31,63,"Feeding"
"191",32,63,"Feeding"
"192",33,63,"Feeding"
"193",45,63,"Feeding"
"194",46,63,"Feeding"
"195",59,63,"Feeding"
"196",60,63,"Feeding"
"197",61,63,"Feeding"
"198",62,63,"Feeding"
"200",64,63,"Feeding"
"201",68,63,"Feeding"
"202",69,63,"Feeding"
"203",71,63,"Feeding"
"204",73,63,"Feeding"
"205",74,63,"Feeding"
"206",6,64,"Feeding"
"207",12,64,"Feeding"
"208",6,68,"Feeding"
"209",12,68,"Feeding"
"210",6,69,"Feeding"
"211",12,69,"Feeding"
"212",22,69,"Feeding"
"213",23,69,"Feeding"
"214",26,69,"Feeding"
"215",27,69,"Feeding"
"216",28,69,"Feeding"
"217",29,69,"Feeding"
"218",30,69,"Feeding"
"219",31,69,"Feeding"
"220",32,69,"Feeding"
"221",33,69,"Feeding"
"222",45,69,"Feeding"
"223",46,69,"Feeding"
"224",59,69,"Feeding"
"225",60,69,"Feeding"
"226",61,69,"Feeding"
"227",62,69,"Feeding"
"228",63,69,"Feeding"
"229",64,69,"Feeding"
"230",68,69,"Feeding"
"232",71,69,"Feeding"
"233",73,69,"Feeding"
"234",74,69,"Feeding"
"235",12,71,"Feeding"
"236",22,71,"Feeding"
"237",23,71,"Feeding"
"238",26,71,"Feeding"
"239",27,71,"Feeding"
"240",28,71,"Feeding"
"241",29,71,"Feeding"
"242",30,71,"Feeding"
"243",31,71,"Feeding"
"244",32,71,"Feeding"
"245",33,71,"Feeding"
"246",45,71,"Feeding"
"247",46,71,"Feeding"
"248",59,71,"Feeding"
"249",60,71,"Feeding"
"250",61,71,"Feeding"
"251",62,71,"Feeding"
"252",63,71,"Feeding"
"253",64,71,"Feeding"
"254",68,71,"Feeding"
"255",69,71,"Feeding"
"257",73,71,"Feeding"
"258",74,71,"Feeding"
"259",12,73,"Feeding"
"260",12,74,"Feeding"
"261",22,74,"Feeding"
"262",23,74,"Feeding"
"263",26,74,"Feeding"
"264",27,74,"Feeding"
"265",28,74,"Feeding"
"266",29,74,"Feeding"
"267",30,74,"Feeding"
"268",31,74,"Feeding"
"269",32,74,"Feeding"
"270",33,74,"Feeding"
"271",45,74,"Feeding"
"272",46,74,"Feeding"
"273",59,74,"Feeding"
"274",60,74,"Feeding"
"275",61,74,"Feeding"
"276",62,74,"Feeding"
"277",63,74,"Feeding"
"278",64,74,"Feeding"
"279",68,74,"Feeding"
"280",69,74,"Feeding"
"281",71,74,"Feeding"
"282",73,74,"Feeding"
"295",6,75,"Feeding"
"296",6,78,"Feeding"
"297",10,78,"Feeding"
"298",6,79,"Feeding"
"299",6,80,"Feeding"
"300",10,80,"Feeding"
"301",6,81,"Feeding"
"302",78,83,"Feeding"
"303",59,85,"Feeding"
"304",68,85,"Feeding"
"305",71,85,"Feeding"
"306",73,85,"Feeding"
"307",141,86,"Feeding"
"308",142,86,"Feeding"
