"","ResourceSpeciesID","ConsumerSpeciesID","Type"
"1",2,1300,"ES"
"2",4,1300,"ES"
"3",6,1300,"ES"
"4",8,1300,"ES"
"5",112,800,"ES"
"6",146,800,"ES"
"7",147,800,"ES"
"8",148,800,"ES"
"9",149,800,"ES"
"10",150,800,"ES"
"11",151,800,"ES"
"12",152,800,"ES"
"13",153,800,"ES"
"14",154,800,"ES"
"15",155,800,"ES"
"16",12,800,"ES"
"17",13,800,"ES"
"18",14,800,"ES"
"19",15,800,"ES"
"20",16,800,"ES"
"21",17,800,"ES"
"22",18,800,"ES"
"23",19,800,"ES"
"24",20,800,"ES"
"25",21,800,"ES"
"26",22,800,"ES"
"27",23,800,"ES"
"28",24,800,"ES"
"29",42,800,"ES"
"30",43,800,"ES"
"31",44,800,"ES"
"32",45,800,"ES"
"33",46,800,"ES"
"34",47,800,"ES"
"35",48,800,"ES"
"36",49,800,"ES"
"37",50,800,"ES"
"38",51,800,"ES"
"39",52,800,"ES"
"40",53,800,"ES"
"41",54,800,"ES"
"42",55,800,"ES"
"43",56,800,"ES"
"44",57,800,"ES"
"45",58,800,"ES"
"46",59,800,"ES"
"47",25,800,"ES"
"48",26,800,"ES"
"49",27,800,"ES"
"50",28,800,"ES"
"51",29,800,"ES"
"52",30,800,"ES"
"53",31,800,"ES"
"54",32,800,"ES"
"55",33,800,"ES"
"56",34,800,"ES"
"57",35,800,"ES"
"58",36,800,"ES"
"59",37,800,"ES"
"60",38,800,"ES"
"61",39,800,"ES"
"62",40,800,"ES"
"63",41,800,"ES"
"64",122,800,"ES"
"65",123,800,"ES"
"66",124,800,"ES"
"67",125,800,"ES"
"68",126,800,"ES"
"69",127,800,"ES"
"70",128,800,"ES"
"71",129,800,"ES"
"72",130,800,"ES"
"73",131,800,"ES"
"74",132,800,"ES"
"75",133,800,"ES"
"76",134,800,"ES"
"77",135,800,"ES"
"78",136,800,"ES"
"79",137,800,"ES"
"80",138,800,"ES"
"81",139,800,"ES"
"82",140,800,"ES"
"83",141,800,"ES"
"84",142,800,"ES"
"85",143,800,"ES"
"86",144,800,"ES"
"87",145,800,"ES"
"88",157,800,"ES"
"89",158,800,"ES"
"90",159,800,"ES"
"91",160,800,"ES"
"92",161,800,"ES"
"93",162,800,"ES"
"94",163,800,"ES"
"95",164,800,"ES"
"96",165,800,"ES"
"97",166,800,"ES"
"98",167,800,"ES"
"99",168,800,"ES"
"100",169,800,"ES"
"101",170,800,"ES"
"102",173,800,"ES"
"103",174,800,"ES"
"104",175,800,"ES"
"105",176,800,"ES"
"106",177,800,"ES"
"107",178,800,"ES"
"108",179,800,"ES"
"109",180,800,"ES"
"110",65,66,"Feeding"
"111",65,67,"Feeding"
"112",65,68,"Feeding"
"113",65,69,"Feeding"
"114",65,70,"Feeding"
"115",65,71,"Feeding"
"116",65,72,"Feeding"
"117",66,67,"Feeding"
"118",66,73,"Feeding"
"119",74,66,"Feeding"
"120",74,67,"Feeding"
"121",74,68,"Feeding"
"122",74,69,"Feeding"
"123",74,70,"Feeding"
"124",74,71,"Feeding"
"125",74,72,"Feeding"
"126",74,73,"Feeding"
"128",67,73,"Feeding"
"129",75,66,"Feeding"
"130",75,67,"Feeding"
"131",75,68,"Feeding"
"132",75,69,"Feeding"
"133",75,70,"Feeding"
"134",75,71,"Feeding"
"135",75,72,"Feeding"
"136",75,73,"Feeding"
"137",68,67,"Feeding"
"138",68,73,"Feeding"
"139",76,66,"Feeding"
"140",76,67,"Feeding"
"141",76,68,"Feeding"
"142",76,69,"Feeding"
"143",76,70,"Feeding"
"144",76,71,"Feeding"
"145",76,72,"Feeding"
"146",76,73,"Feeding"
"147",69,67,"Feeding"
"148",69,73,"Feeding"
"149",70,66,"Feeding"
"150",70,67,"Feeding"
"151",70,68,"Feeding"
"152",70,69,"Feeding"
"154",70,73,"Feeding"
"155",77,66,"Feeding"
"156",77,67,"Feeding"
"157",77,68,"Feeding"
"158",77,69,"Feeding"
"159",77,70,"Feeding"
"160",2,66,"Feeding"
"161",2,68,"Feeding"
"162",2,69,"Feeding"
"163",2,70,"Feeding"
"164",2,77,"Feeding"
"165",78,65,"Feeding"
"166",78,74,"Feeding"
"167",78,75,"Feeding"
"168",78,68,"Feeding"
"169",78,76,"Feeding"
"170",78,69,"Feeding"
"171",78,77,"Feeding"
"172",78,71,"Feeding"
"173",78,72,"Feeding"
"174",78,79,"Feeding"
"175",78,80,"Feeding"
"176",78,81,"Feeding"
"177",78,82,"Feeding"
"178",78,83,"Feeding"
"179",78,84,"Feeding"
"180",78,85,"Feeding"
"181",71,65,"Feeding"
"182",71,74,"Feeding"
"183",71,75,"Feeding"
"184",71,76,"Feeding"
"185",71,69,"Feeding"
"186",71,77,"Feeding"
"188",71,72,"Feeding"
"189",71,80,"Feeding"
"190",71,81,"Feeding"
"191",71,82,"Feeding"
"192",71,84,"Feeding"
"193",71,85,"Feeding"
"194",72,65,"Feeding"
"195",72,66,"Feeding"
"196",72,74,"Feeding"
"197",72,75,"Feeding"
"198",72,76,"Feeding"
"199",72,69,"Feeding"
"200",72,77,"Feeding"
"201",72,71,"Feeding"
"203",72,80,"Feeding"
"204",72,81,"Feeding"
"205",72,82,"Feeding"
"206",72,84,"Feeding"
"207",72,85,"Feeding"
"208",79,65,"Feeding"
"209",79,66,"Feeding"
"210",79,74,"Feeding"
"211",79,75,"Feeding"
"212",79,76,"Feeding"
"213",79,69,"Feeding"
"214",79,77,"Feeding"
"215",79,71,"Feeding"
"216",79,72,"Feeding"
"218",79,80,"Feeding"
"219",79,81,"Feeding"
"220",79,82,"Feeding"
"221",79,84,"Feeding"
"222",79,85,"Feeding"
"223",80,65,"Feeding"
"224",80,66,"Feeding"
"225",80,74,"Feeding"
"226",80,75,"Feeding"
"227",80,68,"Feeding"
"228",80,76,"Feeding"
"229",80,69,"Feeding"
"230",80,70,"Feeding"
"231",80,77,"Feeding"
"233",80,81,"Feeding"
"234",80,82,"Feeding"
"235",80,85,"Feeding"
"236",86,65,"Feeding"
"237",86,66,"Feeding"
"238",86,74,"Feeding"
"239",86,75,"Feeding"
"240",86,76,"Feeding"
"241",86,69,"Feeding"
"242",86,77,"Feeding"
"243",86,71,"Feeding"
"244",86,72,"Feeding"
"245",86,79,"Feeding"
"246",86,80,"Feeding"
"247",86,81,"Feeding"
"248",86,82,"Feeding"
"249",86,83,"Feeding"
"250",86,84,"Feeding"
"251",86,87,"Feeding"
"252",86,88,"Feeding"
"253",89,65,"Feeding"
"254",89,74,"Feeding"
"255",89,75,"Feeding"
"256",89,76,"Feeding"
"257",89,69,"Feeding"
"258",89,77,"Feeding"
"259",89,71,"Feeding"
"260",89,72,"Feeding"
"261",89,79,"Feeding"
"262",89,80,"Feeding"
"263",89,81,"Feeding"
"264",89,82,"Feeding"
"265",89,83,"Feeding"
"266",89,84,"Feeding"
"267",89,87,"Feeding"
"268",89,88,"Feeding"
"269",90,65,"Feeding"
"270",90,66,"Feeding"
"271",90,74,"Feeding"
"272",90,75,"Feeding"
"273",90,68,"Feeding"
"274",90,76,"Feeding"
"275",90,69,"Feeding"
"276",90,70,"Feeding"
"277",90,77,"Feeding"
"278",90,71,"Feeding"
"279",90,72,"Feeding"
"280",90,79,"Feeding"
"281",90,80,"Feeding"
"282",90,81,"Feeding"
"283",90,82,"Feeding"
"284",90,84,"Feeding"
"285",90,87,"Feeding"
"286",90,88,"Feeding"
"287",90,85,"Feeding"
"288",91,65,"Feeding"
"289",91,66,"Feeding"
"290",91,74,"Feeding"
"291",91,75,"Feeding"
"292",91,68,"Feeding"
"293",91,76,"Feeding"
"294",91,69,"Feeding"
"295",91,70,"Feeding"
"296",91,77,"Feeding"
"297",91,71,"Feeding"
"298",91,72,"Feeding"
"299",91,79,"Feeding"
"300",91,80,"Feeding"
"301",91,81,"Feeding"
"302",91,82,"Feeding"
"303",91,84,"Feeding"
"304",91,87,"Feeding"
"305",91,88,"Feeding"
"306",91,85,"Feeding"
"307",92,65,"Feeding"
"308",92,66,"Feeding"
"309",92,74,"Feeding"
"310",92,75,"Feeding"
"311",92,68,"Feeding"
"312",92,76,"Feeding"
"313",92,69,"Feeding"
"314",92,70,"Feeding"
"315",92,77,"Feeding"
"316",92,71,"Feeding"
"317",92,72,"Feeding"
"318",92,79,"Feeding"
"319",92,80,"Feeding"
"320",92,81,"Feeding"
"321",92,82,"Feeding"
"322",92,84,"Feeding"
"323",92,87,"Feeding"
"324",92,88,"Feeding"
"325",92,85,"Feeding"
"326",93,65,"Feeding"
"327",93,66,"Feeding"
"328",93,74,"Feeding"
"329",93,75,"Feeding"
"330",93,68,"Feeding"
"331",93,76,"Feeding"
"332",93,69,"Feeding"
"333",93,70,"Feeding"
"334",93,77,"Feeding"
"335",93,79,"Feeding"
"336",93,87,"Feeding"
"337",93,88,"Feeding"
"338",81,65,"Feeding"
"339",81,66,"Feeding"
"340",81,74,"Feeding"
"341",81,75,"Feeding"
