"","ResourceSpeciesID","ConsumerSpeciesID","Type"
"1",1,2,"Feeding"
"2",1,3,"Feeding"
"3",1,22,"Feeding"
"4",1,30,"Feeding"
"5",1,31,"Feeding"
"6",1,32,"Feeding"
"7",1,33,"Feeding"
"8",1,34,"Feeding"
"9",1,35,"Feeding"
"10",1,36,"Feeding"
"11",1,37,"Feeding"
"12",1,38,"Feeding"
"13",1,65,"Feeding"
"14",1,66,"Feeding"
"15",1,67,"Feeding"
"16",1,68,"Feeding"
"17",1,69,"Feeding"
"18",1,70,"Feeding"
"19",1,71,"Feeding"
"20",1,72,"Feeding"
"21",1,95,"Feeding"
"22",1,96,"Feeding"
"23",1,97,"Feeding"
"24",1,98,"Feeding"
"25",1,99,"Feeding"
"26",1,100,"Feeding"
"27",1,101,"Feeding"
"28",1,102,"Feeding"
"29",1,103,"Feeding"
"30",1,104,"Feeding"
"31",1,105,"Feeding"
"32",1,106,"Feeding"
"33",1,107,"Feeding"
"34",1,108,"Feeding"
"35",1,109,"Feeding"
"37",2,3,"Feeding"
"38",2,30,"Feeding"
"39",2,31,"Feeding"
"40",2,32,"Feeding"
"41",2,33,"Feeding"
"42",2,34,"Feeding"
"43",2,35,"Feeding"
"44",2,36,"Feeding"
"45",2,37,"Feeding"
"46",2,38,"Feeding"
"47",2,65,"Feeding"
"48",2,66,"Feeding"
"49",2,67,"Feeding"
"50",2,68,"Feeding"
"51",2,69,"Feeding"
"52",2,70,"Feeding"
"53",2,71,"Feeding"
"54",2,72,"Feeding"
"55",2,95,"Feeding"
"56",2,96,"Feeding"
"57",2,97,"Feeding"
"58",2,98,"Feeding"
"59",2,99,"Feeding"
"60",2,100,"Feeding"
"61",2,101,"Feeding"
"62",2,102,"Feeding"
"63",2,103,"Feeding"
"64",2,104,"Feeding"
"65",2,105,"Feeding"
"66",2,106,"Feeding"
"67",2,107,"Feeding"
"68",2,108,"Feeding"
"69",2,109,"Feeding"
"71",3,22,"Feeding"
"72",3,30,"Feeding"
"73",3,41,"Feeding"
"74",3,42,"Feeding"
"75",3,43,"Feeding"
"76",3,54,"Feeding"
"77",3,55,"Feeding"
"78",3,56,"Feeding"
"79",3,57,"Feeding"
"80",3,58,"Feeding"
"81",3,59,"Feeding"
"82",3,60,"Feeding"
"83",3,61,"Feeding"
"84",3,62,"Feeding"
"85",3,63,"Feeding"
"86",3,65,"Feeding"
